Order ID,Order Date,Customer Name,Customer ID,Contact Number,Product Name,Product ID,Quantity,Total Sale,Unit Price,Payment Method,Server,Location
700,2021-04-02,Stuart,9132,692-542-7108,Regular Combo,4,3,12,4,Cash,Dawood,Scarborough
699,2021-04-06,Susan,5546,918.161.0205,Regular Fries,6,3,7.47,2.49,Credit Card,Dawood,Markham
698,2021-04-08,Ashley,2543,706.145.4144,Onion Rings,12,1,3.99,3.99,Credit Card,Dawood,Scarborough
697,2021-04-11,Brian,3604,155 302 7519,Garden Salad,14,5,24.95,4.99,Cash,Dawood,Scarborough
696,2021-04-11,James,3216,+1 (823) 833-9831,Onion Rings,12,5,19.95,3.99,Cash,Eva,Markham
695,2021-04-14,Benjamin,3417,788-790-0670,Regular Fries,6,5,12.45,2.49,Cash,Charlie,Scarborough
694,2021-04-15,Linda,2829,151-700-4822,Regular Combo,4,4,16,4,Credit Card,Charlie,Toronto
693,2021-04-17,Laura,5997,989 969 5254,Chicken Burger,2,5,32.45,6.49,Debit Card,Charlie,Markham
692,2021-04-20,Amber,6705,676-279-0277,Double Patty Burger,17,4,31.96,7.99,Debit Card,Altaf,Scarborough
691,2021-04-24,Yesenia,8931,158-349-7676 x008,Chicken Tenders (4 pc),13,4,23.96,5.99,Debit Card,Eva,Scarborough
690,2021-04-24,Bobby,4045,388-733-3490,Cheese Fries,7,3,10.47,3.49,Credit Card,Charlie,Markham
689,2021-04-27,Robert,1754,315-199-8309 x584,Chili Cheese Fries,8,5,22.45,4.49,Credit Card,Bob,Mississauga
688,2021-04-28,Samantha,1377,(286) 549-3796,Cheese Fries,7,5,17.45,3.49,Cash,Altaf,Mississauga
687,2021-04-29,Tyler,3647,(720) 713-7290 x632,Chicken Tenders (4 pc),13,3,17.97,5.99,Credit Card,Dawood,Toronto
686,2021-05-01,Mark,4959,1 (185) 187-0712,Large Combo,5,3,15,5,Debit Card,Humza,Markham
685,2021-05-01,Courtney,1519,+1 (488) 785-9361,Choco Cookie,16,2,2.98,1.49,Credit Card,Grace,Toronto
684,2021-05-01,Joshua,5936,312 699 0621,Soda (Large),10,1,1.99,1.99,Cash,Eva,Scarborough
683,2021-05-01,Brenda,9819,974-373-6685 x026,Chili Cheese Fries,8,5,22.45,4.49,Credit Card,Grace,Toronto
682,2021-05-02,Jason,3332,160-012-3671,Regular Fries,6,5,12.45,2.49,Cash,Humza,Markham
681,2021-05-02,Earl,7626,319-351-8252 x029,Classic Burger,1,2,11.98,5.99,Cash,Charlie,Mississauga
680,2021-05-03,Ricky,4544,(405) 212-7114,Ice Cream,15,5,19.95,3.99,Cash,Frank,Markham
679,2021-05-05,Mary,1953,+1 (579) 223-0567,Classic Burger,1,5,29.95,5.99,Cash,Bob,Toronto
678,2021-05-06,Tracy,2787,981-595-7789 x795,Choco Cookie,16,5,7.45,1.49,Cash,Bob,Toronto
677,2021-05-12,Jean,3120,845-862-3645,Garden Salad,14,3,14.97,4.99,Cash,Altaf,Markham
676,2021-05-13,Alyssa,2293,(870) 296-9926 x612,Double Patty Burger,17,1,7.99,7.99,Credit Card,Bob,Mississauga
675,2021-05-14,Jose,1747,(518) 294-1297 x109,Ice Cream,15,3,11.97,3.99,Credit Card,Frank,Scarborough
674,2021-05-14,Nicholas,9552,411 568 6749,Choco Cookie,16,2,2.98,1.49,Debit Card,Eva,Markham
673,2021-05-16,Jason,3332,(956) 424-5191 x216,Small Combo,3,1,3,3,Credit Card,Bob,Mississauga
672,2021-05-16,Joseph,3078,242-298-9099,Cheese Fries,7,5,17.45,3.49,Debit Card,Grace,Mississauga
671,2021-05-17,Alexander,4783,1-587-063-8064,Garden Salad,14,4,19.96,4.99,Credit Card,Bob,Scarborough
670,2021-05-18,Ernest,1460,(502) 342-0595,Chicken Burger,2,3,19.47,6.49,Credit Card,Bob,Scarborough
669,2021-05-19,Michelle,5057,153-529-5739 x829,Small Combo,3,2,6,3,Debit Card,Frank,Mississauga
668,2021-05-19,James,3216,+1 (629) 018-2666,Chili Cheese Fries,8,5,22.45,4.49,Debit Card,Grace,Markham
667,2021-05-22,Michaela,8690,1-690-482-7748,Soda (Large),10,5,9.95,1.99,Cash,Bob,Toronto
666,2021-05-22,Ashley,2543,811-992-0650 x015,Chicken Burger,2,3,19.47,6.49,Debit Card,Humza,Mississauga
665,2021-05-22,Christina,7616,(873) 076-1963,Onion Rings,12,3,11.97,3.99,Credit Card,Frank,Toronto
664,2021-05-23,Jeremy,2980,561-710-5607,Chicken Burger,2,2,12.98,6.49,Debit Card,Grace,Scarborough
663,2021-05-23,Sylvia,9661,+1 (630) 089-9715,Garden Salad,14,5,24.95,4.99,Cash,Grace,Mississauga
662,2021-05-23,Rhonda,5475,1-525-033-6600,Onion Rings,12,3,11.97,3.99,Debit Card,Charlie,Mississauga
661,2021-05-23,Desiree,4901,+1 (386) 047-5273,Small Combo,3,5,15,3,Cash,Dawood,Mississauga
660,2021-05-25,Stephanie,1152,229.149.2218,Choco Cookie,16,5,7.45,1.49,Debit Card,Altaf,Scarborough
659,2021-05-30,Dawn,4904,981.997.2329,Regular Combo,4,2,8,4,Credit Card,Humza,Mississauga
658,2021-06-01,Steven,5745,(889) 638-1715,Classic Burger,1,2,11.98,5.99,Cash,Eva,Scarborough
657,2021-06-01,Jennifer,3902,951.607.7418,Soda (Regular),9,4,5.96,1.49,Credit Card,Dawood,Scarborough
656,2021-06-01,Sonya,5062,607.962.9983,Ice Cream,15,1,3.99,3.99,Cash,Bob,Scarborough
655,2021-06-02,Kelly,9701,(909) 886-6812,Bottled Water,11,5,5,1,Debit Card,Bob,Scarborough
654,2021-06-02,Michael,8283,477.880.2630,Chicken Burger,2,5,32.45,6.49,Credit Card,Grace,Mississauga
653,2021-06-06,Elizabeth,3388,(124) 255-7078 x323,Chili Cheese Fries,8,1,4.49,4.49,Debit Card,Frank,Markham
652,2021-06-06,Sandra,8486,(297) 196-3208,Regular Combo,4,3,12,4,Debit Card,Frank,Scarborough
651,2021-06-07,Marc,9679,(638) 876-1715 x269,Small Combo,3,3,9,3,Credit Card,Grace,Scarborough
650,2021-06-07,Gina,9104,547 299 3261,Chicken Burger,2,2,12.98,6.49,Debit Card,Charlie,Toronto
